,A1,A1A2,A2,A3,B1,B2,B3
2.0,14256825,,14256825,13473000,14256825,14505120,13473000
5.0,14774925,,15031800,13962750,14774925,15031800,13962750
8.0,15293025,,15293025,14452500,15293025,15293025,14452500
