,A,B,C,D,E,F,G,H,J,K,L
33.0,28545538,22641840,33963773,18273160,34594775,38731340,27771690,24898524,27914025,22988511,29026668
46.0,32720457,26168520,52668803,20896960,40105175,44317260,30914754,28161886,32207791,25883676,43508612
59.0,37314539,,56898464,48728860,58545424,48868752,34609657,31234320,36810315,28709226,36632100
