,A,B,C,D,E,F,G,H,I,J,K,M,N,O,P
2.0,505,505,335,335,505,505,335,335,505,505,335,505,505,355,445
3.0,505,505,335,335,505,505,335,335,505,505,335,505,505,355,445
4.0,505,505,335,335,505,505,335,335,505,505,335,505,505,355,445
