,2,3,4,5,D1,D2,D3,D4,D5
4.0,11632750,10648369,8877672,7213740,10540080,11632750,10574942,9382170,5745369
9.0,12105170,11080934,9238140,7506908,10967760,12105170,11002418,10677330,7506908
14.0,12577590,11513499,9598608,7800076,11396160,12577590,11432075,10144560,7800076
