,A,B,C,D,E1,E2,F,G,H,K,L
5.0,9632700,10424400,10424400,13940010,7078960,8294900,11620205,9395355,14499000,11061360,12745565
8.0,9834300,10642680,10642680,14231460,7230720,8468755,11863315,9592155,14802300,11292480,13012020
11.0,10035900,10860960,10860960,14522910,7381920,8642610,12107180,9788955,15106500,11524320,13278475
