,A,C,D,E,F,G,H,J,K
7.0,4701072,4708768,4711136,3483342,3864256,4860912,4711136,3856755,3466102
19.0,4902352,4923072,4912416,3850554,4033172,5068112,4912416,4025805,3594971
32.0,5127312,5148624,5121984,4205267,4220964,5274128,5121984,4213209,3773405
