,A,B,C,D,E,F,G,H,I
5.0,4335552,4010140,4287528,4292500,4323950,4318242,3373916,3231040,3442560
9.0,4442880,4111980,4392855,4399175,4429775,4734366,3419663,3313920,3525760
13.0,4547296,4214200,4498182,4506275,4536025,4531110,3635840,3397440,3608960
