,A,B,C,D,E,F,G,H,I
4.0,5066240,4421790,4411530,4768852,4780876,4444200,4544910,4866420,4675720
9.0,5285120,4607820,4496580,4870054,4834984,4737690,4653450,4969100,4785200
14.0,5406400,4747680,4432050,4968584,4907128,4840830,4756050,4985420,4889920
