,1,10,10B,11,12,13,14,14A,15,16,17,2,3,5,6,6B,7,7A,8,9
3.0,7060950,4325805,1995181,4545320,3571510,3748740,3504816,1451189,3498432,3837240,4459440,4192320,4192320,3449535,3455065,1649460,3467705,1219308,3424650,3755660
6.0,7585640,4725765,2008784,4918680,3978640,4107360,3823617,1476780,3862719,4202440,4869480,4582560,4582560,3736305,3778570,1677580,3829525,1244189,3523795,3832290
10.0,7789410,4852485,2052715,5051800,4084830,4218300,3926160,1511010,3966060,4315960,5000040,4799520,4704960,3839005,3882060,1714950,3931830,1277410,3839005,3934595
