,A,B,C,D,E,F,G,J,K
4.0,2961760,3249141,4398152,3798828,3736971,2998568,3792894,3798828,3743424
10.0,3033664,3327870,4492015,3892691,3818115,3070900,3887178,3892691,3834216
17.0,3123972,3425436,4605700,4010457,3907470,3161208,4004160,4010457,3948288
