,A,B,C,D,E,F,G,H,I,J,K
5.0,775,670,670,670,615,415,298,695,380,380,390
10.0,775,670,670,670,615,415,298,695,380,380,390
16.0,775,535,670,670,615,415,298,695,380,380,390
