,1,10,11,12,13,14,2,3,4,5,6,7,8,9,N
3.0,8492758,6950048,7089820,5091900,5229075,12130384,6339099,6408882,7559424,7620219,5506200,8704304,7723984,11908260,5196192
6.0,8574375,7094220,7106940,5187270,5328402,7415844,5466832,6546420,7737756,5688900,7013766,8908740,7916860,6209742,5293485
8.0,8632500,7191044,7341270,5249970,5393490,7593678,5173794,5655636,7838502,5771220,7109781,6731586,8019996,6295212,5358234
