,A,B,BC,C,D,E,F,FG,G,H
5.0,10543064,8258702,16944648,7866532,18151704,18507120,8405160,,8342116,10144320
12.0,41935425,42749696,17490144,9982952,18565176,18710316,8340012,,8339968,10522080
20.0,43458100,44301312,18113466,10337172,19227156,,8635848,,8635676,10896480
