,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9
4.0,10852,10743,11593,10758,10452,10622,10615,11201,11178,10630,11154,10758,11381,10758,10883,10610,10939,10958,10615,10552,10758,10665,10724,10344
10.0,11051,11572,11785,10957,10990,11172,10815,11374,11761,10828,11286,10957,11991,10957,11620,11336,11144,11653,11167,11133,10957,11555,11289,10949
15.0,11393,11940,12139,11297,11398,11414,11150,12310,12375,11164,11382,11297,12408,11297,11969,11685,11490,12001,11406,11253,11297,11923,11528,11545
