,A,B,C,D,E,F,G
15.0,10691975,12058146,12012930,10306254,7573783,7647339,7798113
32.0,11145869,12349170,12841986,10837260,7729344,7986790,8208513
50.0,12046167,12993912,13778484,11490654,8148315,8374947,8765631
