,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,C1,C2,C4,C5
5.0,14077,14124,14495,14121,13369,14113,13198,15497,14152,14049,14356,14113,13284,12872,13300,13138,12971
12.0,14475,14850,14259,14848,14803,14839,14087,,14892,14773,15077,14839,14054,13620,14070,13878,13728
19.0,15573,15619,15011,15617,14890,15608,14839,,15228,15543,15860,15608,15625,14332,14810,14613,14445
