,A01,A02,A03,A05,A06,A07,B01,B02,B03,B05,B06,B06B07B08,B07,B08
20.0,4314570,4142298,6348069,4214700,6274584,6214944,4445883,4250121,4424182,4415310,6274468,,6155352,6214944
66.0,,,,,,,,,,,,,,
102.0,,,,,,,,,,,,,,
