,A,A-C,AB,B,C,D,E,F,G,H,I,J,K
20.0,10399,,,11229,10479,11815,11789,12389,12175,12154,12567,12436,13289
66.0,,,,,,,,,,,,,
101.0,,,,,,,,,,,,,
