,1,10,11,12,13,14,15,16,17,19,2,20,21,22,23,24,3,4,5,6,7,8,9,E1,E10,E11,E12,E13,E15,E17,E18,E19,E20,E21,E23,E24,E3,E4,E5,E6,E7,E8,E9
3.0,4206240,3871395,3342570,3769220,3682210,3880875,3893120,3170990,3063280,4010145,4158000,4056625,4025085,4057040,4317390,3928805,4274160,4558600,3685570,4069800,3981150,3970620,3946725,4445900,3970620,3342570,3769220,4013900,3893120,3063280,3342570,4057040,4057040,4057040,4317390,4057040,4274160,4445900,3769220,4100880,3970620,3970620,3970620
8.0,4351140,4105080,3455100,3895760,3879010,4065340,4023470,3263990,4192745,4165770,4374920,4263295,4264540,4192745,,3981095,4417600,4791360,3809150,4309620,4192560,4103460,4142745,4594940,4103460,3455100,3895760,4148380,4023470,3166235,3455100,4192745,4192745,4192745,4462015,4192745,4417600,4594940,3895760,4238220,4103460,4103460,4103460
12.0,4711320,4138800,4034384,3960000,3986020,3477760,5800740,3419920,4298570,3657000,5865255,3116575,4371610,2912800,,4230510,4529360,4452165,3477580,4417980,4325600,4326000,4247235,4711320,4367520,3610200,4144660,4415700,4437600,3345300,3610200,4298570,3116575,4298570,4575045,4298570,4529360,4367520,3477580,4345320,4367520,4367520,4006605
