,A01,A02,A03,A05,A06,A07,A07A08,A08,B01,B02,B03,B05,B06,B07
3.0,237,227,225,223,428,293,,297,230,222,337,219,293,297
8.0,237,227,225,223,428,293,,297,230,222,337,219,293,297
14.0,237,227,225,223,428,293,,297,230,222,337,219,293,297
