,A,B,C,D,E,F,G,H,I,J,K,L,M,N
3.0,5615895,6417325,6147000,6469755,6469755,5621000,6431770,5850900,5586702,5607000,6094130,6424130,5652835,5794740
6.0,5708450,6512020,6237000,6564450,6564450,5706500,6526465,5934600,6228299,5687990,6184780,6518470,5733380,5880000
10.0,6696060,6644165,6362000,6696060,6696060,5825500,6655935,6054480,6251047,5833060,6309730,6648850,5845965,6195560
