,B,C,D,E,F,G,H,J
6.0,14352,15280,14575,13548,13614,12999,16574,16908
17.0,15354,16427,15799,15023,15000,14373,17865,17642
27.0,16161,17295,16497,15833,16094,15249,18800,18590
