,A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4
2.0,3206340,5457480,5647940,3669375,5561250,5297600,4652010,3833240,4264400,5561250,3833240,5075400,3538620,5612220,4982145,3206340
3.0,3219500,5480110,5671120,3684480,5584125,5319300,4734840,3849100,4282250,5584125,3849100,4768500,3553200,5635400,5005605,3219500
4.0,3232660,5502740,5694680,3699585,5607375,5341350,4758600,3864655,4299750,5607375,3864655,5117310,3567780,5658580,5029065,3232660
