,A,B,C,D,E,F,G,H,I
4.0,4537890,4004750,4120690,3903120,5648770,3899375,3439260,4537890,5082481
7.0,4684890,4086090,4252700,3987360,5797510,3971200,3508230,4684890,5182611
10.0,4773090,4162865,4312040,4055610,5906720,4037925,3458400,4524560,5281563
