,A,B,C,D,E,F,G,H,I,J1J2
4.0,14821646,13207740,14949540,12256612,12989340,15710695,9286667,5203158,4590270,14086344
8.0,15759360,14066250,15461046,12668952,13432419,16249233,9579920,5377110,4940040,14568528
13.0,15928436,14202400,16065810,13169206,5789866,9932312,9950080,5594550,5139960,15140400
