,A,B,C,D,E,F,G,H
9.0,26405,28909,27056,27117,29793,27801,28503,27353
18.0,28077,30325,30518,28046,30835,29091,28543,29229
27.0,30149,31577,31077,31714,31241,37090,30302,29904
