,1,2,3,4,5,6,7,8,9
7.0,4170910,2353918,2367690,4309099,2523300,2422952,2378972,2421273,2393763
20.0,4362103,2463073,2478450,4521115,2751450,2536240,2551150,2530527,2530527
33.0,4549510,2589846,2567760,4720511,2867670,2624048,2635466,2615808,2677116
