,A,B,C,D,E,F,G,H,J
3.0,9841,10871,7752,10268,11330,,11427,11629,10144
7.0,7630,11230,8022,7862,11704,,11704,12014,7794
11.0,7886,11590,8425,8126,12033,12448,12079,12087,8056
