,1,2,3,4,5,6,7,8
5.0,4934694,4898474,4263417,4142212,4887702,5026770,4263417,4054544
13.0,5038824,4960410,4369590,4313508,4998774,5118015,4369590,4180188
21.0,5178198,5147877,4332366,4444000,5147226,5283362,4332366,4311488
