,A,B,C,D,E,F,G,H,J,K,L,M
5.0,8822,8689,8654,8687,8745,8860,8860,8745,8798,9000,8745,11396
14.0,10357,10450,8990,10264,10269,10398,10398,10269,10083,10133,10269,11888
23.0,10792,10885,9339,10689,10695,10840,10840,10695,10497,10553,10695,10792
