,1,1-3,10,11,1114,12,1202,1208,13,1302,1306,1313,14,1404,15,1501,1506,1509,1510,1513,2,210,215,216,3,309,4,414,5,513,514,6,707,709,715,8,9,whole floor
3.0,9097380,,5807025,5807025,5518720,,5658084,5312370,5807025,5674649,6024200,4695888,5774060,5904078,5807025,7107848,4597010,4378615,4378615,4378615,5807025,5807025,5807025,6534630,5807025,5807025,5848875,5764680,6585300,5807025,5724480,5807025,6001614,5807025,5715712,5682600,5518720,4822744
8.0,9489060,,6054750,6054750,5754240,5825925,5899860,5539920,6054750,5917161,6283200,4897512,6016600,6156207,5754240,7412284,4794856,4567240,4567240,4567240,6054750,6054750,6054750,6814620,6054750,6054750,6113475,6010570,6852600,6054750,5967690,6054750,6258147,6054750,5959400,5961120,5754240,5029576
12.0,9786900,,6245100,6245100,5935360,6012900,6085134,5713965,6245100,6102999,6490400,5051982,6204870,6349941,5935360,7645088,4945092,4710595,4710595,4710595,6245100,6245100,6245100,7028820,6245100,6245100,6291000,6199510,7071300,6245100,6154620,6245100,6455265,6245100,6146648,6111600,5935360,5187480
