,A,B,C,D,E,F,G,H,I,J,K,L
4.0,12897,12694,13723,16291,12854,14759,13915,14247,15162,14839,13259,13036
10.0,14483,15280,14148,16667,13189,13793,14251,14593,15514,15147,13867,13856
17.0,14331,13966,14394,12734,16117,13932,15101,14598,14692,15584,13730,14047
