,A,C,D,E,F,G,H,I,J,K,L
2.0,409,395,382,382,395,382,502,327,360,360,450
3.0,409,382,382,382,395,382,502,327,360,360,450
4.0,409,382,382,382,395,382,502,327,360,360,450
