,A1,A2,A3,A4,B1,B2,B3,C1,C2,C3,C4
3.0,7201040,6960345,4309620,4203320,7201040,7069065,4305000,7206430,6854645,4305000,4207420
6.0,7371980,6477000,4413780,4306230,7371980,7237430,4410000,7379680,6801040,4410000,4309920
10.0,6531140,7340865,4553640,4443990,7597590,7458645,4550280,7607600,7023765,4550280,4447270
