,A2,B1,B3,B4,C2,C4,D1,D3,D4
2.0,2368905,2101250,2108015,2376745,2383360,2402470,2411000,2392250,2140110
3.0,2389240,2162750,2115600,2386300,2392915,2418395,2420750,2401250,2148090
4.0,2398795,2117445,2124005,2396100,2402960,2422315,2430750,2411500,2156700
