,A,B,C,D,E,F,G,H,J,K
7.0,6104439,6527130,6356304,5993188,5365730,6831960,6310044,6406032,5886184,5050074
18.0,6435990,6607446,6692560,6146464,5669570,7262799,6409566,6657632,5953182,5298210
30.0,6800637,6809400,6955408,6533510,5788996,7474377,6731994,6700256,6313718,5564914
