,A,B,C,D,E,F,G
3.0,2942961,3045348,2892924,2993087,2818690,2605920,3408480
6.0,3004383,3071796,2969484,3591775,2877650,2660515,3053520
8.0,3045684,3110076,3009852,3092633,2917180,2697420,3095280
