,A,B,C,D,E,F,G,H,I,J
7.0,5847798,6193155,4184372,3947388,3716856,3499254,4028122,4195884,5394100,4478474
17.0,6159144,6763893,4456655,4112179,3737250,3782790,4071136,4494873,5976146,4784780
26.0,6223743,6142482,4571625,6075550,5867680,4353804,5822075,5291000,5624722,4852848
