,1,10,2,3,5,6,7,8,9,G10,G2,G3,G5,G6,G8,G9
4.0,4040725,3632325,4040725,4566880,3717900,3499200,3528870,3735640,3856089,3529440,4060875,4497530,2866200,3772200,3777120,3856089
7.0,4137900,3630615,4137900,4676380,3806400,3631500,3636885,3827750,3948767,3613800,4151875,4605935,3803400,3866700,3868315,3948767
10.0,4233125,3712980,4233125,4783690,3893400,3720000,3720105,3848185,4040201,3696165,4247425,4716530,3805200,3862200,3957375,4040201
