,B1,B10,B11,B12,B13,B14,B15,B16,B17,B18,B2,B3,B4,B5,B6,B7,B8,B9
2.0,8791,9904,9289,9115,9129,8843,9289,9115,9289,10050,8939,9303,8869,9303,8906,8974,8647,8484
4.0,9051,10011,9385,9208,9235,8653,9385,9208,9385,9917,9029,9398,8959,9398,9163,9065,8733,8570
7.0,9179,10392,9528,9165,9333,8973,9528,9165,9528,10062,9163,9542,9093,9542,9535,9202,8866,8836
