,CHELSEA HSE 2,CHELSEA HSE 3,CHELSEA HSE 6,CHELSEA HSE 7,CHELSEA HSE 8,DEVON HSE 2,DEVON HSE 3,DEVON HSE 6,DEVON HSE 7,DEVON HSE 8,DEVON HSE 9,SOMERSET HSE 2,SOMERSET HSE 3,SOMERSET HSE 6,SOMERSET HSE 7,SOMERSET HSE 8,SOMERSET HSE 9,TREGUNTER HSE,TREGUNTER HSE 2,TREGUNTER HSE 3,TREGUNTER HSE 6,TREGUNTER HSE 7,TREGUNTER HSE 8
3.0,20358207,20358207,20358207,20358207,20358207,20358207,20358207,16828506,20358207,20358207,21047759,14630455,,,,,14595212,14483077,14630455,,,,
6.0,20640132,20640132,20640132,20640132,20640132,20640132,20640132,17065323,20640132,20640132,21339834,14833197,,,,,14806900,14683683,14833197,,,,
8.0,20827008,20827008,20827008,20827008,20827008,20827008,20827008,17223201,20827008,20827008,21533438,14968738,,,,,14948776,14816669,14968738,,,,
