,A,B,C,D,E,F,G,H,J,K,L,M
6.0,4252176,4117770,5349939,6453800,6289325,5005660,5358145,5219918,6305152,6851595,4332900,5589910
15.0,4616928,4558635,5549494,6705120,6074557,5251840,5587913,5314540,6585724,6676025,4487400,5711698
22.0,4740246,4748313,5771429,7035984,5984060,5558073,5812832,5839636,6921684,6967510,4761300,5567224
