,A,B,C,D,E,F,G,H,I,J
11.0,7797512,9262080,6505030,8996298,7848288,7384800,9244608,6586435,9398280,7928940
29.0,8389296,10687695,7277205,10015170,8426016,8182848,9894486,7264810,10051780,8497416
46.0,9483184,11200919,7592775,11323904,9101584,9154584,11651392,7529460,11315887,9259312
