,10,12,14,15,16,17,18,19,2,20,22,25,27,29,31,4,5,6,7,8
8.0,7423,7450,7579,7536,7461,7465,6923,7328,6872,7450,7517,,7666,7383,7366,,,,,
18.0,7360,7784,7261,7490,7785,7290,7295,7290,7241,7784,7261,,8065,7261,7379,,,,,
29.0,7713,8192,7674,7897,8191,7700,7710,7699,7655,8192,7674,,8503,7704,7796,,,,,
