,A,B,C,D,E,F,G,G & H,GH,H
19.0,26137,26046,26726,26728,26728,24700,24210,24980,24980,26104
40.0,29400,26881,26106,25992,26108,26547,25783,27934,27934,26365
62.0,31135,30809,28798,28040,28798,29202,28235,30855,30855,30727
