,A,B,BC,C,D,E,F,G,H,J,K
10.0,618,395,815,420,418,584,555,444,420,440,416
26.0,656,722,815,805,1183,615,585,888,420,440,408
43.0,656,722,815,805,1183,615,585,888,420,440,832
