,A,B,C,D,E,F,G,H,J,K
7.0,10329,10854,10671,10357,10466,10164,10909,10620,11247,10224
21.0,11021,11332,11265,10778,11071,12483,11398,11154,11693,10998
34.0,11426,11523,11494,11270,11510,12614,11631,11464,12060,11253
