,A,AB,B,C,CD,D,DG,E,F,G,H
6.0,18045,10814,11398,11404,10629,18620,10639,10360,11438,11685,11433
16.0,18907,11533,11918,11923,11090,19039,11100,10872,11960,12115,11957
23.0,19007,11855,12285,12289,11345,19722,11433,11238,12328,15381,12326
