,A,B,C,D,E,F,G,H,J,K,L,M,N
9.0,497,354,472,480,296,342,347,362,310,329,389,470,350
19.0,497,354,472,476,296,342,347,362,310,328,389,468,350
28.0,497,352,474,476,296,342,347,362,310,328,389,465,353
