,A1,A2,A3,B1,B2,C1,C2,C3,C4
3.0,2742660,3827070,3604135,4111875,4111875,2719980,3827070,3239145,2976155
4.0,2827710,3850470,3645945,4137500,4137500,2734965,3851640,3255530,2992535
