,10,12,13,14,2,208,3,4,5,6,602,605,7,8
3.0,8513,9421,9414,9414,9586,9586,9586,9586,9586,7728,9516,9586,9642,9586
7.0,8826,9710,9702,9702,9877,9877,9877,9877,9877,7991,9814,9877,9936,9877
11.0,9120,8269,10032,9462,10185,10185,10185,10185,10185,8242,10121,10185,10504,8290
