,1,10,11,2,3,4,5,6,7,8,9
5.0,12519,12338,12798,13152,12872,10928,12778,12772,12741,12761,12794
11.0,12969,12808,13266,13661,13342,11277,13246,13237,13205,13281,13261
17.0,13483,12418,13739,14237,13752,11554,13719,13710,13789,13755,13735
