,A,B,C,D,E,F,G,I,J,K,L
4.0,1015,1015,605,605,675,790,670,665,665,1266,977
8.0,1015,1015,605,605,675,790,670,665,665,1266,977
13.0,1015,1015,605,605,675,790,670,665,665,977,977
