,A,B,C,D,E,F,G,H,J,K
6.0,9948,9863,9714,9868,10883,10886,10857,10531,10648,10872
14.0,10313,10228,10074,10233,11276,11280,11249,10942,11044,11265
22.0,10653,10566,10405,10572,11662,11666,11631,11318,11425,11651
