,A,B,C,D,E,F,G,H,HJ,J
9.0,11417,12444,12220,11506,11460,12524,12294,11496,13073,11492
17.0,11995,12931,12426,12168,12129,12910,12778,12158,13638,12221
25.0,12479,13568,12996,12499,12449,13168,13268,12490,14204,12554
