,A,B,C,D,E,F,G,H,I,J,K,L
2.0,566,566,566,566,566,566,566,565,566,566,566,564
3.0,566,566,566,566,566,566,566,565,566,566,566,564
4.0,566,566,566,566,566,566,566,566,566,566,564,564
