,A,B,C,D,E,F,G,H,I,J
6.0,4697616,4773564,4552850,4713240,4824690,4761887,5106214,4952575,4761887,4842240
16.0,4939416,5007140,4706030,4913376,5057910,4977908,5362279,5190775,4991103,5037630
27.0,5135460,5252356,4949120,5018652,5227170,5152082,5580629,5372204,5167539,5256030
