,A,B,C,D,E,EAST PENTHOUSE,F,G,H,WEST PENTHOUSE
3.0,,,,,33028,,34008,29851,,
5.0,,,34858,,33692,,34575,,,
7.0,,,35425,,34148,,35142,,,
