,A,B,C,D,E,F,G,H,I,J,K
4.0,451,440,361,361,440,427,607,503,503,503,503
10.0,451,440,361,361,440,427,361,424,327,410,340
15.0,451,440,361,361,440,427,510,343,591,410,340
