,10,11,12,15,16,23,3,6,APT 8
4.0,52671360,52671360,52671360,54574080,49560960,55116551,52671360,52671360,52671360
6.0,53381760,53381760,53381760,55342080,50179200,55857661,53381760,53381760,53381760
9.0,54447360,54447360,54447360,56472960,51156480,56973332,54447360,54447360,54447360
