,1,100,101,103,105,106,107,108,109,110,111,112,115,117,118,119,12,120,121,122,123,126,127,128,129,130,131,132,133,135,136,137,138,150,151,155,156,157,16,17,18,2,20,21,22,25,28,3,31,33,35,36,37,38,39,5,50,52,53,56,57,58,59,6,61,62,63,65,66,67,68,69,7,71,73,75,77,78,79,8,80,81,82,83,85,86,88,89,9,90,91,92,93,95,97,99,whole floor
3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
