,A,B,D,E,F,G,H
6.0,3714224,4182042,3657552,4061248,3966291,3992732,3764640
9.0,3779728,4260426,3725632,4072288,4040877,4067472,3789664
12.0,3874672,4342218,3797024,4143312,4118270,4145848,3864736
