,A,B,C,D,E,F,G,H,J,K,L
9.0,9824103,6019984,6019020,5115499,7207114,5930320,4606918,5492456,5431944,6630300,4983839
18.0,10158537,6244127,6285636,5471478,7630385,6209379,4694800,5839656,5695568,7001986,5263496
25.0,10978359,6487346,6612228,5854249,8065785,6445428,4914990,5972584,5911824,7281098,5780929
