,A,B,C,D,E,F,G,GH,H
6.0,21542257,19580738,15608320,16571107,16626127,15734615,19922773,55402830,23637406
14.0,24177728,20470029,16373929,17334968,17413830,16492385,21062209,57870414,24633975
23.0,25239315,21572709,17177862,18482135,18647195,17324190,22525302,60719274,25762822
